id,quizId,type,question,options,correctAnswer,items,text,blanks,distractors,sentence,words,correctWordIndexes,image
q-1770211296984-0,quiz-1770205530380,MCQ,Mục đích chính của việc quy đồng mẫu số hai phân số là gì?,A. Để làm cho tử số bằng nhau|B. Để đưa hai phân số về cùng một mẫu số|C. Để làm cho phân số nhỏ đi|D. Để biến đổi phân số thành số tự nhiên,B,,,,,,,,
q-1770211296984-1,quiz-1770205530380,MCQ,Mẫu số chung nhỏ nhất của hai phân số $\frac{1}{3}$ và $\frac{1}{6}$ là bao nhiêu?,A. 3|B. 6|C. 9|D. 18,B,,,,,,,,
q-1770211296984-2,quiz-1770205530380,SHORT_ANSWER,Tìm mẫu số chung nhỏ nhất của hai phân số $\frac{2}{5}$ và $\frac{3}{10}$.,,10,,,,,,,,
q-1770211296984-3,quiz-1770205530380,TRUE_FALSE,Đánh giá các phát biểu sau về việc chọn mẫu số chung (MSC):,,,"[{""statement"":""MSC phải là số chia hết cho mẫu số của cả hai phân số."",""isCorrect"":true},{""statement"":""MSC bắt buộc phải là tích của hai mẫu số."",""isCorrect"":false}]",,,,,,,
q-1770211296984-4,quiz-1770205530380,MCQ,"Khi quy đồng mẫu số hai phân số $\frac{5}{9}$ và $\frac{4}{3}$, ta nên chọn mẫu số chung là số nào để đơn giản nhất?",A. 27|B. 12|C. 9|D. 3,C,,,,,,,,
q-1770211296984-6,quiz-1770205530380,MCQ,"Để quy đồng mẫu số phân số $\frac{3}{4}$ thành phân số có mẫu số là 12, ta cần nhân cả tử và mẫu của phân số đó với số nào?",A. 2|B. 3|C. 4|D. 5,B,,,,,,,,
q-1770211296984-7,quiz-1770205530380,SHORT_ANSWER,Điền số thích hợp vào chỗ chấm: $\frac{2}{5}$ = \frac{...}{15}$,,6,,,,,,,,
q-1770211296984-8,quiz-1770205530380,MULTIPLE_SELECT,Những số nào sau đây có thể dùng làm mẫu số chung cho hai phân số $\frac{1}{2}$ và $\frac{1}{5}$? (Chọn tất cả đáp án đúng)(MSC chia hết cho cả 2 và 5),A. 10|B. 15|C. 20|D. 7,"[""A"",""C""]",,,,,,,,
q-1770211296984-9,quiz-1770205530380,MCQ,Phân số nào dưới đây đã được quy đồng từ phân số $\frac{1}{2}$ với mẫu số chung là 8?,A. $\frac{2}{8}$|B. $\frac{4}{8}$|C. $\frac{1}{8}$|D. $\frac{6}{8}$,B,,,,,,,,
q-1770211296984-10,quiz-1770205530380,MCQ,"Quy đồng mẫu số hai phân số $\frac{1}{2}$ và $\frac{3}{4}$, ta được hai phân số nào?",A. $\frac{2}{4}$ và $\frac{3}{4}$|B. $\frac{1}{4}$ và $\frac{3}{4}$|C. $\frac{4}{4}$ và $\frac{3}{4}$|D. $\frac{3}{4}$ và $\frac{3}{4}$,A,,,,,,,,
q-1770211296984-11,quiz-1770205530380,MCQ,Quy đồng mẫu số các phân số $\frac{1}{2}$ và $\frac{3}{10}$ với mẫu số chung là 10. Kết quả là:,A. $\frac{5}{10}$ và $\frac{3}{10}$|B. $\frac{1}{10}$ và $\frac{6}{10}$|C. $\frac{5}{10}$ và $\frac{6}{10}$|D. $\frac{2}{10}$ và $\frac{5}{10}$,A,,,,,,,,
